source,target,source_lexname,target_lexname,lexical_function
ls:fr:node:30552,ls:fr:node:56691,déception,avoir,Oper1
ls:fr:node:30552,ls:fr:node:27370,déception,éprouver,Oper1
ls:fr:node:30552,ls:fr:node:29223,déception,ressentir,Oper1
ls:fr:node:30553,ls:fr:node:56691,dégoût,avoir,Oper1
ls:fr:node:30553,ls:fr:node:27370,dégoût,éprouver,Oper1
ls:fr:node:30553,ls:fr:node:29223,dégoût,ressentir,Oper1
ls:fr:node:30555,ls:fr:node:39318,pipe,faire,Oper1
ls:fr:node:30555,ls:fr:node:42598,pipe,tailler,Oper1
ls:fr:node:30565,ls:fr:node:56691,désir,avoir,Oper1
ls:fr:node:30565,ls:fr:node:27370,désir,éprouver,Oper1
ls:fr:node:30565,ls:fr:node:29223,désir,ressentir,Oper1
ls:fr:node:30570,ls:fr:node:33916,éloge,prononcer,Oper1
ls:fr:node:30570,ls:fr:node:39134,éloge,faire,Oper1
ls:fr:node:30596,ls:fr:node:56691,émoi,avoir,Oper1
ls:fr:node:30596,ls:fr:node:27370,émoi,éprouver,Oper1
ls:fr:node:30596,ls:fr:node:29223,émoi,ressentir,Oper1
ls:fr:node:30601,ls:fr:node:56691,animosité,avoir,Oper1
ls:fr:node:30601,ls:fr:node:27370,animosité,éprouver,Oper1
ls:fr:node:30601,ls:fr:node:51111,animosité,faire preuve,Oper1
ls:fr:node:30601,ls:fr:node:28239,animosité,manifester,Oper1
ls:fr:node:30601,ls:fr:node:44694,animosité,montrer,Oper1
ls:fr:node:30612,ls:fr:node:56691,aversion,avoir,Oper1
ls:fr:node:30612,ls:fr:node:27370,aversion,éprouver,Oper1
ls:fr:node:30612,ls:fr:node:29223,aversion,ressentir,Oper1
ls:fr:node:30651,ls:fr:node:39134,cinéma,faire,Oper1
ls:fr:node:30654,ls:fr:node:33677,majorité,appartenir,Oper1
ls:fr:node:30654,ls:fr:node:38628,majorité,faire partie,Oper1
ls:fr:node:30684,ls:fr:node:56691,mécontentement,avoir,Oper1
ls:fr:node:30684,ls:fr:node:27370,mécontentement,éprouver,Oper1
ls:fr:node:30684,ls:fr:node:29223,mécontentement,ressentir,Oper1
ls:fr:node:30718,ls:fr:node:35246,félicitations,adresser,Oper1
ls:fr:node:30718,ls:fr:node:27473,félicitations,exprimer,Oper1
ls:fr:node:30720,ls:fr:node:56691,fierté,avoir,Oper1
ls:fr:node:30720,ls:fr:node:27370,fierté,éprouver,Oper1
ls:fr:node:30720,ls:fr:node:29223,fierté,ressentir,Oper1
ls:fr:node:30770,ls:fr:node:41447,poissons,être,Oper1
ls:fr:node:30775,ls:fr:node:53356,colle,poser,Oper1
ls:fr:node:30790,ls:fr:node:34765,ennemi,être,Oper1
ls:fr:node:30791,ls:fr:node:34765,ennemi,être,Oper1
ls:fr:node:30793,ls:fr:node:34765,ennemi,être,Oper1
ls:fr:node:30858,ls:fr:node:34765,ami,être,Oper1
ls:fr:node:30859,ls:fr:node:34765,ami,être,Oper1
ls:fr:node:30868,ls:fr:node:46938,exclamation,pousser,Oper1
ls:fr:node:30875,ls:fr:node:56400,excuses,présenter,Oper1
ls:fr:node:30876,ls:fr:node:56691,excuse,avoir,Oper1
ls:fr:node:30913,ls:fr:node:56691,gratitude,avoir,Oper1
ls:fr:node:30913,ls:fr:node:27370,gratitude,éprouver,Oper1
ls:fr:node:30913,ls:fr:node:29223,gratitude,ressentir,Oper1
ls:fr:node:30931,ls:fr:node:43932,coup de soleil,avoir,Oper1
ls:fr:node:30938,ls:fr:node:39134,vaisselle,faire,Oper1
ls:fr:node:30948,ls:fr:node:39134,volte-face,faire,Oper1
ls:fr:node:30949,ls:fr:node:39134,volte-face,faire,Oper1
ls:fr:node:30950,ls:fr:node:56691,répugnance,avoir,Oper1
ls:fr:node:30950,ls:fr:node:27370,répugnance,éprouver,Oper1
ls:fr:node:30950,ls:fr:node:29223,répugnance,ressentir,Oper1
ls:fr:node:30953,ls:fr:node:39134,cri,faire,Oper1
ls:fr:node:30953,ls:fr:node:46938,cri,pousser,Oper1
ls:fr:node:30953,ls:fr:node:31179,cri,lancer,Oper1
ls:fr:node:30953,ls:fr:node:28021,cri,jeter,Oper1
ls:fr:node:30953,ls:fr:node:37957,cri,émettre,Oper1
ls:fr:node:30953,ls:fr:node:44414,cri,lâcher,Oper1
ls:fr:node:30959,ls:fr:node:56691,répulsion,avoir,Oper1
ls:fr:node:30959,ls:fr:node:27370,répulsion,éprouver,Oper1
ls:fr:node:30959,ls:fr:node:29223,répulsion,ressentir,Oper1
ls:fr:node:30965,ls:fr:node:26181,crime,accomplir,Oper1
ls:fr:node:30965,ls:fr:node:26837,crime,commettre,Oper1
ls:fr:node:30965,ls:fr:node:39361,crime,perpétrer,Oper1
ls:fr:node:30965,ls:fr:node:27458,crime,exécuter,Oper1
ls:fr:node:31022,ls:fr:node:39134,tête-à-queue,faire,Oper1
ls:fr:node:31028,ls:fr:node:46072,rivière,former,Oper1
ls:fr:node:31096,ls:fr:node:43932,brosse,avoir,Oper1
ls:fr:node:31203,ls:fr:node:39134,bœuf,faire,Oper1
ls:fr:node:31252,ls:fr:node:43932,antennes,avoir,Oper1
ls:fr:node:31252,ls:fr:node:43735,antennes,posséder,Oper1
ls:fr:node:31266,ls:fr:node:41447,taureau,être,Oper1
ls:fr:node:31290,ls:fr:node:39134,cheval,faire,Oper1
ls:fr:node:31685,ls:fr:node:34765,cause,être,Oper1
ls:fr:node:31696,ls:fr:node:56691,certitude,avoir,Oper1
ls:fr:node:31814,ls:fr:node:39509,choix,faire,Oper1
ls:fr:node:31965,ls:fr:node:41570,décision,prendre,Oper1
ls:fr:node:32188,ls:fr:node:39134,demande,faire,Oper1
ls:fr:node:32378,ls:fr:node:56691,casserole,avoir,Oper1
ls:fr:node:32792,ls:fr:node:39134,causette,faire,Oper1
ls:fr:node:32898,ls:fr:node:39134,course,faire,Oper1
ls:fr:node:32898,ls:fr:node:28668,course,participer,Oper1
ls:fr:node:32973,ls:fr:node:39134,fellation,faire,Oper1
ls:fr:node:32975,ls:fr:node:39134,pompier,faire,Oper1
ls:fr:node:32975,ls:fr:node:42598,pompier,tailler,Oper1
ls:fr:node:33033,ls:fr:node:39134,culture,faire,Oper1
ls:fr:node:33208,ls:fr:node:39134,siège,faire,Oper1
ls:fr:node:33386,ls:fr:node:39134,vélo,faire,Oper1
ls:fr:node:33405,ls:fr:node:33405,foot,foot,Oper1
ls:fr:node:33796,ls:fr:node:43932,cheveu,avoir,Oper1
ls:fr:node:33796,ls:fr:node:38555,cheveu,porter,Oper1
ls:fr:node:33817,ls:fr:node:39287,cor,jouer,Oper1
ls:fr:node:33928,ls:fr:node:39416,train,former,Oper1
ls:fr:node:33969,ls:fr:node:40127,train,mener,Oper1
ls:fr:node:34040,ls:fr:node:56691,distinction,avoir,Oper1
ls:fr:node:34117,ls:fr:node:39134,don,faire,Oper1
ls:fr:node:34264,ls:fr:node:34128,coup,donner,Oper1
ls:fr:node:34962,ls:fr:node:56691,tête dure,avoir,Oper1
ls:fr:node:35109,ls:fr:node:39134,visite,faire,Oper1
ls:fr:node:35109,ls:fr:node:47775,visite,rendre,Oper1
ls:fr:node:35218,ls:fr:node:39134,compte,faire,Oper1
ls:fr:node:35344,ls:fr:node:39509,promesse,faire,Oper1
ls:fr:node:35856,ls:fr:node:56691,goutte,avoir,Oper1
ls:fr:node:35856,ls:fr:node:50447,goutte,souffrir,Oper1
ls:fr:node:36135,ls:fr:node:35246,insulte,adresser,Oper1
ls:fr:node:36135,ls:fr:node:43792,insulte,proférer,Oper1
ls:fr:node:36136,ls:fr:node:35246,injure,adresser,Oper1
ls:fr:node:36136,ls:fr:node:27137,injure,dire,Oper1
ls:fr:node:36136,ls:fr:node:43792,injure,proférer,Oper1
ls:fr:node:36136,ls:fr:node:31751,injure,lancer,Oper1
ls:fr:node:36908,ls:fr:node:39509,prévision,faire,Oper1
ls:fr:node:37496,ls:fr:node:56691,orgueil,avoir,Oper1
ls:fr:node:37496,ls:fr:node:27370,orgueil,éprouver,Oper1
ls:fr:node:37496,ls:fr:node:29223,orgueil,ressentir,Oper1
ls:fr:node:37781,ls:fr:node:35390,mesure,effectuer,Oper1
ls:fr:node:38107,ls:fr:node:37957,ronflements,émettre,Oper1
ls:fr:node:38197,ls:fr:node:39509,rêve,faire,Oper1
ls:fr:node:38288,ls:fr:node:33677,corps,appartenir,Oper1
ls:fr:node:38288,ls:fr:node:38628,corps,faire partie,Oper1
ls:fr:node:38288,ls:fr:node:43767,corps,relever,Oper1
ls:fr:node:38289,ls:fr:node:33677,corps,appartenir,Oper1
ls:fr:node:38289,ls:fr:node:38628,corps,faire partie,Oper1
ls:fr:node:38289,ls:fr:node:43767,corps,relever,Oper1
ls:fr:node:38359,ls:fr:node:34765,mère,être,Oper1
ls:fr:node:38365,ls:fr:node:34128,savon,donner,Oper1
ls:fr:node:38365,ls:fr:node:38830,savon,passer,Oper1
ls:fr:node:38369,ls:fr:node:34128,savon,donner,Oper1
ls:fr:node:38369,ls:fr:node:38830,savon,passer,Oper1
ls:fr:node:38386,ls:fr:node:47763,visage,arborer,Oper1
ls:fr:node:38386,ls:fr:node:38681,visage,avoir,Oper1
ls:fr:node:38386,ls:fr:node:38897,visage,montrer,Oper1
ls:fr:node:38386,ls:fr:node:43764,visage,offrir,Oper1
ls:fr:node:38386,ls:fr:node:38898,visage,présenter,Oper1
ls:fr:node:38389,ls:fr:node:43932,corps,avoir,Oper1
ls:fr:node:38389,ls:fr:node:43735,corps,posséder,Oper1
ls:fr:node:38425,ls:fr:node:38897,visage,montrer,Oper1
ls:fr:node:38425,ls:fr:node:38898,visage,présenter,Oper1
ls:fr:node:38425,ls:fr:node:39066,visage,arborer,Oper1
ls:fr:node:38425,ls:fr:node:43761,visage,exhiber,Oper1
ls:fr:node:38425,ls:fr:node:43785,visage,afficher,Oper1
ls:fr:node:38483,ls:fr:node:34765,mère,être,Oper1
ls:fr:node:38486,ls:fr:node:35390,déplacement,effectuer,Oper1
ls:fr:node:38486,ls:fr:node:39134,déplacement,faire,Oper1
ls:fr:node:38503,ls:fr:node:38826,veste,prendre,Oper1
ls:fr:node:38503,ls:fr:node:38973,veste,se prendre,Oper1
ls:fr:node:38503,ls:fr:node:38827,veste,ramasser,Oper1
ls:fr:node:38503,ls:fr:node:38848,veste,se ramasser,Oper1
ls:fr:node:38503,ls:fr:node:38831,veste,essuyer,Oper1
ls:fr:node:38503,ls:fr:node:29510,veste,subir,Oper1
ls:fr:node:38524,ls:fr:node:39134,marche,faire,Oper1
ls:fr:node:38604,ls:fr:node:56691,mains propres,avoir,Oper1
ls:fr:node:38777,ls:fr:node:27458,numéro,exécuter,Oper1
ls:fr:node:38777,ls:fr:node:39134,numéro,faire,Oper1
ls:fr:node:38782,ls:fr:node:38826,veste,prendre,Oper1
ls:fr:node:38782,ls:fr:node:38973,veste,se prendre,Oper1
ls:fr:node:38782,ls:fr:node:38827,veste,ramasser,Oper1
ls:fr:node:38782,ls:fr:node:38848,veste,se ramasser,Oper1
ls:fr:node:38782,ls:fr:node:38854,veste,se manger,Oper1
ls:fr:node:38809,ls:fr:node:26181,hold-up,accomplir,Oper1
ls:fr:node:38809,ls:fr:node:26837,hold-up,commettre,Oper1
ls:fr:node:38809,ls:fr:node:39134,hold-up,faire,Oper1
ls:fr:node:38809,ls:fr:node:40869,hold-up,réaliser,Oper1
ls:fr:node:38828,ls:fr:node:39134,autoroute,faire,Oper1
ls:fr:node:38829,ls:fr:node:39134,route,faire,Oper1
ls:fr:node:38842,ls:fr:node:39318,cravate,faire,Oper1
ls:fr:node:38842,ls:fr:node:34128,cravate,donner,Oper1
ls:fr:node:38882,ls:fr:node:34765,père,être,Oper1
ls:fr:node:38902,ls:fr:node:42745,coup de fouet,donner,Oper1
ls:fr:node:38902,ls:fr:node:45204,coup de fouet,mettre,Oper1
ls:fr:node:38912,ls:fr:node:39134,lessive,faire,Oper1
ls:fr:node:38918,ls:fr:node:39134,lessive,faire,Oper1
ls:fr:node:39109,ls:fr:node:39134,ping-pong,faire,Oper1
ls:fr:node:39109,ls:fr:node:38625,ping-pong,se faire,Oper1
ls:fr:node:39149,ls:fr:node:56691,tête près du bonnet,avoir,Oper1
ls:fr:node:39156,ls:fr:node:39134,chantage,faire,Oper1
ls:fr:node:39156,ls:fr:node:39277,chantage,exercer,Oper1
ls:fr:node:39156,ls:fr:node:36320,chantage,se livrer,Oper1
ls:fr:node:39156,ls:fr:node:39280,chantage,recourir,Oper1
ls:fr:node:39156,ls:fr:node:39282,chantage,user,Oper1
ls:fr:node:39156,ls:fr:node:39285,chantage,pratiquer,Oper1
ls:fr:node:39233,ls:fr:node:33677,famille,appartenir,Oper1
ls:fr:node:39233,ls:fr:node:38628,famille,faire partie,Oper1
ls:fr:node:39235,ls:fr:node:33677,famille,appartenir,Oper1
ls:fr:node:39235,ls:fr:node:38628,famille,faire partie,Oper1
ls:fr:node:39236,ls:fr:node:33677,famille,appartenir,Oper1
ls:fr:node:39236,ls:fr:node:38628,famille,faire partie,Oper1
ls:fr:node:39246,ls:fr:node:33677,famille,appartenir,Oper1
ls:fr:node:39246,ls:fr:node:38628,famille,faire partie,Oper1
ls:fr:node:39253,ls:fr:node:26434,téléphone,avoir,Oper1
ls:fr:node:39272,ls:fr:node:39134,football,faire,Oper1
ls:fr:node:39272,ls:fr:node:38625,football,se faire,Oper1
ls:fr:node:39295,ls:fr:node:56691,sentiment,avoir,Oper1
ls:fr:node:39295,ls:fr:node:27370,sentiment,éprouver,Oper1
ls:fr:node:39490,ls:fr:node:56691,frite,avoir,Oper1
ls:fr:node:39563,ls:fr:node:39134,volley-ball,faire,Oper1
ls:fr:node:39563,ls:fr:node:38625,volley-ball,se faire,Oper1
ls:fr:node:39564,ls:fr:node:39134,rugby,faire,Oper1
ls:fr:node:39564,ls:fr:node:38625,rugby,se faire,Oper1
ls:fr:node:39568,ls:fr:node:39134,basket,faire,Oper1
ls:fr:node:39568,ls:fr:node:38625,basket,se faire,Oper1
ls:fr:node:39570,ls:fr:node:39134,tennis,faire,Oper1
ls:fr:node:39570,ls:fr:node:38625,tennis,se faire,Oper1
ls:fr:node:39604,ls:fr:node:39134,gymnastique,faire,Oper1
ls:fr:node:39615,ls:fr:node:39134,ski,faire,Oper1
ls:fr:node:39696,ls:fr:node:56691,oreille absolue,avoir,Oper1
ls:fr:node:39788,ls:fr:node:39134,jogging,faire,Oper1
ls:fr:node:39788,ls:fr:node:38625,jogging,se faire,Oper1
ls:fr:node:39899,ls:fr:node:39134,promenade,faire,Oper1
ls:fr:node:39927,ls:fr:node:39134,toilette,faire,Oper1
ls:fr:node:39927,ls:fr:node:41832,toilette,procéder,Oper1
ls:fr:node:39958,ls:fr:node:39134,toilette,faire,Oper1
ls:fr:node:39958,ls:fr:node:41832,toilette,procéder,Oper1
ls:fr:node:39986,ls:fr:node:39134,marche nordique,faire,Oper1
ls:fr:node:40043,ls:fr:node:39134,marche arrière,faire,Oper1
ls:fr:node:40163,ls:fr:node:31596,produit,calculer,Oper1
ls:fr:node:40163,ls:fr:node:35390,produit,effectuer,Oper1
ls:fr:node:40163,ls:fr:node:39318,produit,faire,Oper1
ls:fr:node:40330,ls:fr:node:56691,coup dans le nez,avoir,Oper1
ls:fr:node:40358,ls:fr:node:26837,coup d’État,commettre,Oper1
ls:fr:node:40358,ls:fr:node:39134,coup d’État,faire,Oper1
ls:fr:node:40358,ls:fr:node:39361,coup d’État,perpétrer,Oper1
ls:fr:node:40380,ls:fr:node:56691,coup de fourchette,avoir,Oper1
ls:fr:node:40384,ls:fr:node:34128,coup de collier,donner,Oper1
ls:fr:node:40386,ls:fr:node:39134,coup,faire,Oper1
ls:fr:node:40386,ls:fr:node:53941,coup,jouer,Oper1
ls:fr:node:40390,ls:fr:node:56691,coup de cœur,avoir,Oper1
ls:fr:node:40438,ls:fr:node:39134,coup de maître,faire,Oper1
ls:fr:node:40444,ls:fr:node:42745,coup de pied dans la fourmilière,donner,Oper1
ls:fr:node:40449,ls:fr:node:56691,coup de froid,avoir,Oper1
ls:fr:node:40449,ls:fr:node:50447,coup de froid,souffrir,Oper1
ls:fr:node:40460,ls:fr:node:56691,coup de chaleur,avoir,Oper1
ls:fr:node:40461,ls:fr:node:39134,coup double,faire,Oper1
ls:fr:node:40550,ls:fr:node:39134,route,faire,Oper1
ls:fr:node:40551,ls:fr:node:40738,route,suivre,Oper1
ls:fr:node:40551,ls:fr:node:40620,route,poursuivre,Oper1
ls:fr:node:40551,ls:fr:node:39549,route,marcher,Oper1
ls:fr:node:40551,ls:fr:node:39551,route,avancer,Oper1
ls:fr:node:40551,ls:fr:node:39554,route,progresser,Oper1
ls:fr:node:40558,ls:fr:node:40738,route,suivre,Oper1
ls:fr:node:40569,ls:fr:node:34765,oreilles,être,Oper1
ls:fr:node:40575,ls:fr:node:56691,coup d’œil,avoir,Oper1
ls:fr:node:40637,ls:fr:node:39509,fausse route,faire,Oper1
ls:fr:node:40647,ls:fr:node:39134,coup par coup,faire,Oper1
ls:fr:node:40696,ls:fr:node:56763,toast,porter,Oper1
ls:fr:node:40794,ls:fr:node:53356,lapin,poser,Oper1
ls:fr:node:40823,ls:fr:node:32403,marche,comporter,Oper1
ls:fr:node:40823,ls:fr:node:32420,marche,se composer,Oper1
ls:fr:node:40860,ls:fr:node:39134,auto-stop,faire,Oper1
ls:fr:node:40943,ls:fr:node:39134,avion,faire,Oper1
ls:fr:node:41057,ls:fr:node:39134,voiture,faire,Oper1
ls:fr:node:41103,ls:fr:node:56691,vingtaine,avoir,Oper1
ls:fr:node:41130,ls:fr:node:40127,coup de filet,mener,Oper1
ls:fr:node:41150,ls:fr:node:39134,bicyclette,faire,Oper1
ls:fr:node:41179,ls:fr:node:42745,coup de frein,donner,Oper1
ls:fr:node:41200,ls:fr:node:41633,coup de projecteur,jeter,Oper1
ls:fr:node:41201,ls:fr:node:42745,coup de pied aux fesses,donner,Oper1
ls:fr:node:41217,ls:fr:node:56691,le feu aux fesses,avoir,Oper1
ls:fr:node:41400,ls:fr:node:56691,fourmis dans les jambes,avoir,Oper1
ls:fr:node:41420,ls:fr:node:39416,couple,former,Oper1
ls:fr:node:41425,ls:fr:node:39416,couple,former,Oper1
ls:fr:node:41433,ls:fr:node:39134,gymnastique,faire,Oper1
ls:fr:node:41433,ls:fr:node:38625,gymnastique,se faire,Oper1
ls:fr:node:41453,ls:fr:node:41447,placard,être,Oper1
ls:fr:node:41461,ls:fr:node:56691,syndrome des jambes sans repos,avoir,Oper1
ls:fr:node:41461,ls:fr:node:50447,syndrome des jambes sans repos,souffrir,Oper1
ls:fr:node:41502,ls:fr:node:56691,les jambes molles,avoir,Oper1
ls:fr:node:41505,ls:fr:node:39134,rond de jambe,faire,Oper1
ls:fr:node:41556,ls:fr:node:43974,politique,avoir,Oper1
ls:fr:node:41663,ls:fr:node:26434,fond,avoir,Oper1
ls:fr:node:42133,ls:fr:node:56691,mal du pays,avoir,Oper1
ls:fr:node:42133,ls:fr:node:27370,mal du pays,éprouver,Oper1
ls:fr:node:42133,ls:fr:node:29223,mal du pays,ressentir,Oper1
ls:fr:node:42148,ls:fr:node:39134,tricycle,faire,Oper1
ls:fr:node:42174,ls:fr:node:43932,couleurs,avoir,Oper1
ls:fr:node:42179,ls:fr:node:38681,couleur,avoir,Oper1
ls:fr:node:42267,ls:fr:node:42686,bol,prendre,Oper1
ls:fr:node:42311,ls:fr:node:38679,placard,être,Oper1
ls:fr:node:42311,ls:fr:node:39134,placard,faire,Oper1
ls:fr:node:42503,ls:fr:node:56691,maladie de la vache folle,avoir,Oper1
ls:fr:node:42503,ls:fr:node:50447,maladie de la vache folle,souffrir,Oper1
ls:fr:node:42593,ls:fr:node:42717,pluie,tomber,Oper1
ls:fr:node:42593,ls:fr:node:39316,pluie,retomber,Oper1
ls:fr:node:42642,ls:fr:node:56691,ressemblance,avoir,Oper1
ls:fr:node:42642,ls:fr:node:43764,ressemblance,offrir,Oper1
ls:fr:node:42642,ls:fr:node:38898,ressemblance,présenter,Oper1
ls:fr:node:42642,ls:fr:node:46097,ressemblance,rappeler,Oper1
ls:fr:node:42685,ls:fr:node:39134,sale boulot,faire,Oper1
ls:fr:node:42694,ls:fr:node:56691,vent,avoir,Oper1
ls:fr:node:42694,ls:fr:node:39509,vent,faire,Oper1
ls:fr:node:42694,ls:fr:node:44414,vent,lâcher,Oper1
ls:fr:node:42697,ls:fr:node:45204,vent,mettre,Oper1
ls:fr:node:42723,ls:fr:node:56691,train de vie,avoir,Oper1
ls:fr:node:42723,ls:fr:node:40127,train de vie,mener,Oper1
ls:fr:node:42760,ls:fr:node:28021,bouteille à la mer,jeter,Oper1
ls:fr:node:42760,ls:fr:node:29997,bouteille à la mer,lancer,Oper1
ls:fr:node:42760,ls:fr:node:28341,bouteille à la mer,mettre,Oper1
ls:fr:node:42870,ls:fr:node:56691,mains sales,avoir,Oper1
ls:fr:node:42903,ls:fr:node:56691,les jambes mortes,avoir,Oper1
ls:fr:node:42917,ls:fr:node:44580,éclair,jeter,Oper1
ls:fr:node:42917,ls:fr:node:32271,éclair,lancer,Oper1
ls:fr:node:42917,ls:fr:node:39311,éclair,projeter,Oper1
ls:fr:node:42925,ls:fr:node:31753,éclair,lancer,Oper1
ls:fr:node:42925,ls:fr:node:44351,éclair,jeter,Oper1
ls:fr:node:43101,ls:fr:node:43932,balai dans le cul,avoir,Oper1
ls:fr:node:43180,ls:fr:node:43932,ventre,avoir,Oper1
ls:fr:node:43211,ls:fr:node:56691,le couteau sous la gorge,avoir,Oper1
ls:fr:node:43226,ls:fr:node:43932,chat dans la gorge,avoir,Oper1
ls:fr:node:43272,ls:fr:node:29704,désert,traverser,Oper1
ls:fr:node:43272,ls:fr:node:34713,désert,vivre,Oper1
ls:fr:node:43272,ls:fr:node:43700,désert,connaître,Oper1
ls:fr:node:43272,ls:fr:node:39838,désert,affronter,Oper1
ls:fr:node:43384,ls:fr:node:39134,gros dos,faire,Oper1
ls:fr:node:43440,ls:fr:node:39134,coup,faire,Oper1
ls:fr:node:43467,ls:fr:node:34128,coup de reins,donner,Oper1
ls:fr:node:43591,ls:fr:node:43547,désert,traverser,Oper1
ls:fr:node:43591,ls:fr:node:28644,désert,parcourir,Oper1
ls:fr:node:43591,ls:fr:node:41377,désert,s’enfoncer,Oper1
ls:fr:node:43669,ls:fr:node:39134,voile,faire,Oper1
ls:fr:node:43710,ls:fr:node:42686,bol d’air,prendre,Oper1
ls:fr:node:43711,ls:fr:node:34128,coup de coude,donner,Oper1
ls:fr:node:43802,ls:fr:node:56691,petit vélo dans la tête,avoir,Oper1
ls:fr:node:43817,ls:fr:node:28239,attitude,manifester,Oper1
ls:fr:node:43817,ls:fr:node:44438,attitude,observer,Oper1
ls:fr:node:43898,ls:fr:node:34765,mal,être,Oper1
ls:fr:node:43910,ls:fr:node:56691,mal,avoir,Oper1
ls:fr:node:43910,ls:fr:node:50447,mal,souffrir,Oper1
ls:fr:node:44014,ls:fr:node:56691,dent,avoir,Oper1
ls:fr:node:44023,ls:fr:node:56691,dent dure,avoir,Oper1
ls:fr:node:44024,ls:fr:node:56691,dents longues,avoir,Oper1
ls:fr:node:44153,ls:fr:node:46072,fleuve,former,Oper1
ls:fr:node:44157,ls:fr:node:39134,chant,faire,Oper1
ls:fr:node:44185,ls:fr:node:39134,repas,faire,Oper1
ls:fr:node:44185,ls:fr:node:28235,repas,manger,Oper1
ls:fr:node:44185,ls:fr:node:45088,repas,prendre,Oper1
ls:fr:node:44187,ls:fr:node:45088,repas,prendre,Oper1
ls:fr:node:44189,ls:fr:node:39134,repas,faire,Oper1
ls:fr:node:44189,ls:fr:node:28583,repas,organiser,Oper1
ls:fr:node:44192,ls:fr:node:31074,nuage,flotter,Oper1
ls:fr:node:44192,ls:fr:node:30417,nuage,voler,Oper1
ls:fr:node:44377,ls:fr:node:56691,angine de poitrine,avoir,Oper1
ls:fr:node:44377,ls:fr:node:50447,angine de poitrine,souffrir,Oper1
ls:fr:node:44686,ls:fr:node:56691,ressemblance,avoir,Oper1
ls:fr:node:44686,ls:fr:node:43764,ressemblance,offrir,Oper1
ls:fr:node:44686,ls:fr:node:38898,ressemblance,présenter,Oper1
ls:fr:node:44686,ls:fr:node:46097,ressemblance,rappeler,Oper1
ls:fr:node:44717,ls:fr:node:39134,acte de présence,faire,Oper1
ls:fr:node:44749,ls:fr:node:44960,péril,courir,Oper1
ls:fr:node:45101,ls:fr:node:39318,couleur,faire,Oper1
ls:fr:node:45119,ls:fr:node:39134,course,faire,Oper1
ls:fr:node:45119,ls:fr:node:28668,course,participer,Oper1
ls:fr:node:45176,ls:fr:node:38898,analogie,présenter,Oper1
ls:fr:node:45176,ls:fr:node:42619,analogie,partager,Oper1
ls:fr:node:45176,ls:fr:node:43735,analogie,posséder,Oper1
ls:fr:node:45316,ls:fr:node:41608,table ouverte,tenir,Oper1
ls:fr:node:45501,ls:fr:node:42692,cours,assurer,Oper1
ls:fr:node:45501,ls:fr:node:51514,cours,dispenser,Oper1
ls:fr:node:45501,ls:fr:node:34128,cours,donner,Oper1
ls:fr:node:45501,ls:fr:node:39134,cours,faire,Oper1
ls:fr:node:45528,ls:fr:node:39134,sprint,faire,Oper1
ls:fr:node:45529,ls:fr:node:39134,sprint,faire,Oper1
ls:fr:node:45529,ls:fr:node:46944,sprint,piquer,Oper1
ls:fr:node:45529,ls:fr:node:46938,sprint,pousser,Oper1
ls:fr:node:45647,ls:fr:node:40022,tête,occuper,Oper1
ls:fr:node:45647,ls:fr:node:38679,tête,être,Oper1
ls:fr:node:45647,ls:fr:node:29919,tête,figurer,Oper1
ls:fr:node:45661,ls:fr:node:33606,récital,donner,Oper1
ls:fr:node:45737,ls:fr:node:41570,goûter,prendre,Oper1
ls:fr:node:45770,ls:fr:node:56691,angine,avoir,Oper1
ls:fr:node:45770,ls:fr:node:50447,angine,souffrir,Oper1
ls:fr:node:45790,ls:fr:node:30283,carton rouge,coller,Oper1
ls:fr:node:45790,ls:fr:node:34128,carton rouge,donner,Oper1
ls:fr:node:45790,ls:fr:node:45204,carton rouge,mettre,Oper1
ls:fr:node:45809,ls:fr:node:39134,moto,faire,Oper1
ls:fr:node:46469,ls:fr:node:55259,tableau,dresser,Oper1
ls:fr:node:46513,ls:fr:node:43932,bras long,avoir,Oper1
ls:fr:node:46618,ls:fr:node:39134,longueur,faire,Oper1
ls:fr:node:46897,ls:fr:node:56691,poids,avoir,Oper1
ls:fr:node:47101,ls:fr:node:39134,chevaux,faire,Oper1
ls:fr:node:47137,ls:fr:node:43932,partie du corps,avoir,Oper1
ls:fr:node:47366,ls:fr:node:39134,bicross,faire,Oper1
ls:fr:node:47367,ls:fr:node:39134,BMX,faire,Oper1
ls:fr:node:47368,ls:fr:node:39134,vélo tout chemin,faire,Oper1
ls:fr:node:47369,ls:fr:node:39134,VTC,faire,Oper1
ls:fr:node:47370,ls:fr:node:39134,vélo tout terrain,faire,Oper1
ls:fr:node:47371,ls:fr:node:39134,VTT,faire,Oper1
ls:fr:node:47386,ls:fr:node:39134,tandem,faire,Oper1
ls:fr:node:47488,ls:fr:node:56691,coudées franches,avoir,Oper1
ls:fr:node:47507,ls:fr:node:44140,les pieds sous la table,mettre,Oper1
ls:fr:node:47596,ls:fr:node:56691,honnêteté,avoir,Oper1
ls:fr:node:47651,ls:fr:node:56691,sommeil,avoir,Oper1
ls:fr:node:47651,ls:fr:node:27370,sommeil,éprouver,Oper1
ls:fr:node:47651,ls:fr:node:29223,sommeil,ressentir,Oper1
ls:fr:node:47697,ls:fr:node:39134,roupillon,faire,Oper1
ls:fr:node:47729,ls:fr:node:56691,visite médicale,avoir,Oper1
