source,target,source_lexname,target_lexname
ls:fr:node:51127,ls:fr:node:56691,compassion,avoir
ls:fr:node:30596,ls:fr:node:56691,émoi,avoir
ls:fr:node:43802,ls:fr:node:56691,petit vélo dans la tête,avoir
ls:fr:node:56476,ls:fr:node:56691,apitoiement,avoir
ls:fr:node:56544,ls:fr:node:43932,cornes,avoir
ls:fr:node:56702,ls:fr:node:56691,étonnement,avoir
ls:fr:node:26292,ls:fr:node:56691,amour,avoir
ls:fr:node:56701,ls:fr:node:56691,ictère,avoir
ls:fr:node:56700,ls:fr:node:56691,jaunisse,avoir
ls:fr:node:56697,ls:fr:node:56691,maladie vénérienne,avoir
ls:fr:node:56694,ls:fr:node:56691,maladie mentale,avoir
ls:fr:node:37496,ls:fr:node:56691,orgueil,avoir
ls:fr:node:52874,ls:fr:node:56691,satisfaction,avoir
ls:fr:node:44024,ls:fr:node:56691,dents longues,avoir
ls:fr:node:44023,ls:fr:node:56691,dent dure,avoir
ls:fr:node:44014,ls:fr:node:56691,dent,avoir
ls:fr:node:44377,ls:fr:node:56691,angine de poitrine,avoir
ls:fr:node:43910,ls:fr:node:56691,mal,avoir
ls:fr:node:30601,ls:fr:node:56691,animosité,avoir
ls:fr:node:26526,ls:fr:node:56691,bonheur,avoir
ls:fr:node:31252,ls:fr:node:43932,antennes,avoir
ls:fr:node:54481,ls:fr:node:56691,reconnaissance,avoir
ls:fr:node:55922,ls:fr:node:56691,carcinome mammaire,avoir
ls:fr:node:55920,ls:fr:node:56691,carcinome,avoir
ls:fr:node:47488,ls:fr:node:56691,coudées franches,avoir
ls:fr:node:55214,ls:fr:node:56691,horreur,avoir
ls:fr:node:27754,ls:fr:node:56691,grippe,avoir
ls:fr:node:55144,ls:fr:node:56691,nostalgie,avoir
ls:fr:node:48164,ls:fr:node:56691,la tête ailleurs,avoir
ls:fr:node:27791,ls:fr:node:56691,haine,avoir
ls:fr:node:27640,ls:fr:node:56691,frustration,avoir
ls:fr:node:54719,ls:fr:node:56691,gale,avoir
ls:fr:node:52635,ls:fr:node:56691,main verte,avoir
ls:fr:node:39490,ls:fr:node:56691,frite,avoir
ls:fr:node:34962,ls:fr:node:56691,tête dure,avoir
ls:fr:node:30553,ls:fr:node:56691,dégoût,avoir
ls:fr:node:47596,ls:fr:node:56691,honnêteté,avoir
ls:fr:node:42503,ls:fr:node:56691,maladie de la vache folle,avoir
ls:fr:node:54707,ls:fr:node:56691,le pied au plancher,avoir
ls:fr:node:26911,ls:fr:node:43932,coquille,avoir
ls:fr:node:42694,ls:fr:node:56691,vent,avoir
ls:fr:node:39149,ls:fr:node:56691,tête près du bonnet,avoir
ls:fr:node:53524,ls:fr:node:56691,cafard,avoir
ls:fr:node:43226,ls:fr:node:43932,chat dans la gorge,avoir
ls:fr:node:43211,ls:fr:node:56691,le couteau sous la gorge,avoir
ls:fr:node:26987,ls:fr:node:56691,curiosité,avoir
ls:fr:node:53542,ls:fr:node:56691,mélancolie,avoir
ls:fr:node:43180,ls:fr:node:43932,ventre,avoir
ls:fr:node:55919,ls:fr:node:56691,cancer du sein,avoir
ls:fr:node:55622,ls:fr:node:56691,poil dans la main,avoir
ls:fr:node:43101,ls:fr:node:43932,balai dans le cul,avoir
ls:fr:node:42903,ls:fr:node:56691,les jambes mortes,avoir
ls:fr:node:42870,ls:fr:node:56691,mains sales,avoir
ls:fr:node:52799,ls:fr:node:56691,déprime,avoir
ls:fr:node:55630,ls:fr:node:43932,carapace,avoir
ls:fr:node:42723,ls:fr:node:56691,train de vie,avoir
ls:fr:node:40380,ls:fr:node:56691,coup de fourchette,avoir
ls:fr:node:30565,ls:fr:node:56691,désir,avoir
ls:fr:node:47137,ls:fr:node:43932,partie du corps,avoir
ls:fr:node:51349,ls:fr:node:26516,tasse,boire
ls:fr:node:40163,ls:fr:node:31596,produit,calculer
ls:fr:node:29450,ls:fr:node:31596,somme,calculer
ls:fr:node:53543,ls:fr:node:26669,mélancolie,causer
ls:fr:node:45790,ls:fr:node:30283,carton rouge,coller
ls:fr:node:28056,ls:fr:node:39833,karaté,combattre
ls:fr:node:53909,ls:fr:node:26837,violence,commettre
ls:fr:node:26383,ls:fr:node:26837,attentat,commettre
ls:fr:node:40358,ls:fr:node:26837,coup d’État,commettre
ls:fr:node:26968,ls:fr:node:26837,crime,commettre
ls:fr:node:27825,ls:fr:node:26837,hold-up,commettre
ls:fr:node:53835,ls:fr:node:26837,putsch,commettre
ls:fr:node:54539,ls:fr:node:50944,bilan,compléter
ls:fr:node:40823,ls:fr:node:32403,marche,comporter
ls:fr:node:28865,ls:fr:node:44203,politique,conduire
ls:fr:node:43272,ls:fr:node:43700,désert,connaître
ls:fr:node:29658,ls:fr:node:43700,tornade,connaître
ls:fr:node:27348,ls:fr:node:39052,environnement,constituer
ls:fr:node:29262,ls:fr:node:44960,risque,courir
ls:fr:node:44749,ls:fr:node:44960,péril,courir
ls:fr:node:26992,ls:fr:node:44960,danger,courir
ls:fr:node:27215,ls:fr:node:44435,éclair,cracher
ls:fr:node:51314,ls:fr:node:51310,office,célébrer
ls:fr:node:51312,ls:fr:node:51310,messe de minuit,célébrer
ls:fr:node:28333,ls:fr:node:51310,messe,célébrer
ls:fr:node:26505,ls:fr:node:27137,blague,dire
ls:fr:node:51312,ls:fr:node:27137,messe de minuit,dire
ls:fr:node:54318,ls:fr:node:47640,vacherie,dire
ls:fr:node:54121,ls:fr:node:27137,calembour,dire
ls:fr:node:54317,ls:fr:node:47640,méchanceté,dire
ls:fr:node:36136,ls:fr:node:27137,injure,dire
ls:fr:node:28333,ls:fr:node:27137,messe,dire
ls:fr:node:45501,ls:fr:node:51514,cours,dispenser
ls:fr:node:38902,ls:fr:node:42745,coup de fouet,donner
ls:fr:node:38842,ls:fr:node:34128,cravate,donner
ls:fr:node:29490,ls:fr:node:33606,spectacle,donner
ls:fr:node:55988,ls:fr:node:34128,coup de couteau,donner
ls:fr:node:45501,ls:fr:node:34128,cours,donner
ls:fr:node:26863,ls:fr:node:33606,concert,donner
ls:fr:node:45661,ls:fr:node:33606,récital,donner
ls:fr:node:45790,ls:fr:node:34128,carton rouge,donner
ls:fr:node:41201,ls:fr:node:42745,coup de pied aux fesses,donner
ls:fr:node:41179,ls:fr:node:42745,coup de frein,donner
ls:fr:node:38365,ls:fr:node:34128,savon,donner
ls:fr:node:34264,ls:fr:node:34128,coup,donner
ls:fr:node:53727,ls:fr:node:34128,coup de pied,donner
ls:fr:node:43711,ls:fr:node:34128,coup de coude,donner
ls:fr:node:40384,ls:fr:node:34128,coup de collier,donner
ls:fr:node:40444,ls:fr:node:42745,coup de pied dans la fourmilière,donner
ls:fr:node:43467,ls:fr:node:34128,coup de reins,donner
ls:fr:node:46469,ls:fr:node:55259,tableau,dresser
ls:fr:node:54539,ls:fr:node:35390,bilan,effectuer
ls:fr:node:47729,ls:fr:node:35390,visite médicale,effectuer
ls:fr:node:40163,ls:fr:node:35390,produit,effectuer
ls:fr:node:38486,ls:fr:node:35390,déplacement,effectuer
ls:fr:node:47745,ls:fr:node:35390,visite,effectuer
