source,target,source_lexname,target_lexname
ls:fr:node:55630,ls:fr:node:43735,carapace,posséder
ls:fr:node:31252,ls:fr:node:43735,antennes,posséder
ls:fr:node:28921,ls:fr:node:43735,pouvoir,posséder
ls:fr:node:56544,ls:fr:node:43735,cornes,posséder
ls:fr:node:40551,ls:fr:node:40620,route,poursuivre
ls:fr:node:28865,ls:fr:node:40620,politique,poursuivre
ls:fr:node:30953,ls:fr:node:46938,cri,pousser
ls:fr:node:30868,ls:fr:node:46938,exclamation,pousser
ls:fr:node:28601,ls:fr:node:46938,ouf,pousser
ls:fr:node:45529,ls:fr:node:46938,sprint,pousser
ls:fr:node:28865,ls:fr:node:39118,politique,pratiquer
ls:fr:node:54539,ls:fr:node:39118,bilan,pratiquer
ls:fr:node:26709,ls:fr:node:39285,chantage,pratiquer
ls:fr:node:27185,ls:fr:node:41570,douche,prendre
ls:fr:node:31965,ls:fr:node:41570,décision,prendre
ls:fr:node:38503,ls:fr:node:38826,veste,prendre
ls:fr:node:55764,ls:fr:node:41570,mesure,prendre
ls:fr:node:44185,ls:fr:node:45088,repas,prendre
ls:fr:node:28701,ls:fr:node:41570,pause,prendre
ls:fr:node:43710,ls:fr:node:42686,bol d’air,prendre
ls:fr:node:54312,ls:fr:node:38937,recul,prendre
ls:fr:node:45737,ls:fr:node:41570,goûter,prendre
ls:fr:node:42267,ls:fr:node:42686,bol,prendre
ls:fr:node:29600,ls:fr:node:44788,tempête,pris
ls:fr:node:29645,ls:fr:node:41832,toilette,procéder
ls:fr:node:36135,ls:fr:node:43792,insulte,proférer
ls:fr:node:36136,ls:fr:node:43792,injure,proférer
ls:fr:node:40551,ls:fr:node:39554,route,progresser
ls:fr:node:42917,ls:fr:node:39311,éclair,projeter
ls:fr:node:53764,ls:fr:node:33916,sermon,prononcer
ls:fr:node:30570,ls:fr:node:33916,éloge,prononcer
ls:fr:node:27142,ls:fr:node:33916,discours,prononcer
ls:fr:node:26850,ls:fr:node:56400,compliment,présenter
ls:fr:node:30875,ls:fr:node:56400,excuses,présenter
ls:fr:node:38386,ls:fr:node:38898,visage,présenter
ls:fr:node:42642,ls:fr:node:38898,ressemblance,présenter
ls:fr:node:45176,ls:fr:node:38898,analogie,présenter
ls:fr:node:38503,ls:fr:node:38827,veste,ramasser
ls:fr:node:42642,ls:fr:node:46097,ressemblance,rappeler
ls:fr:node:51397,ls:fr:node:35138,honneurs de la presse,recevoir
ls:fr:node:26709,ls:fr:node:39280,chantage,recourir
ls:fr:node:38288,ls:fr:node:43767,corps,relever
ls:fr:node:35109,ls:fr:node:47775,visite,rendre
ls:fr:node:50785,ls:fr:node:47775,service,rendre
ls:fr:node:55785,ls:fr:node:47775,honneur,rendre
ls:fr:node:30913,ls:fr:node:29223,gratitude,ressentir
ls:fr:node:26814,ls:fr:node:29223,colère,ressentir
ls:fr:node:30950,ls:fr:node:29223,répugnance,ressentir
ls:fr:node:51127,ls:fr:node:29223,compassion,ressentir
ls:fr:node:55218,ls:fr:node:29223,manque,ressentir
ls:fr:node:30533,ls:fr:node:29223,admiration,ressentir
ls:fr:node:30553,ls:fr:node:29223,dégoût,ressentir
ls:fr:node:53524,ls:fr:node:29223,cafard,ressentir
ls:fr:node:55144,ls:fr:node:29223,nostalgie,ressentir
ls:fr:node:52009,ls:fr:node:29223,plaisir,ressentir
ls:fr:node:53262,ls:fr:node:29223,mépris,ressentir
ls:fr:node:53375,ls:fr:node:29223,ravissement,ressentir
ls:fr:node:30596,ls:fr:node:29223,émoi,ressentir
ls:fr:node:52874,ls:fr:node:29223,satisfaction,ressentir
ls:fr:node:29721,ls:fr:node:29223,tristesse,ressentir
ls:fr:node:29968,ls:fr:node:29223,bien,ressentir
ls:fr:node:52873,ls:fr:node:29223,contentement,ressentir
ls:fr:node:30514,ls:fr:node:29223,effroi,ressentir
ls:fr:node:52799,ls:fr:node:29223,déprime,ressentir
ls:fr:node:30612,ls:fr:node:29223,aversion,ressentir
ls:fr:node:52530,ls:fr:node:29223,frayeur,ressentir
ls:fr:node:30565,ls:fr:node:29223,désir,ressentir
ls:fr:node:53774,ls:fr:node:29223,nausée,ressentir
ls:fr:node:27502,ls:fr:node:29223,fatigue,ressentir
ls:fr:node:53542,ls:fr:node:29223,mélancolie,ressentir
ls:fr:node:30720,ls:fr:node:29223,fierté,ressentir
ls:fr:node:30684,ls:fr:node:29223,mécontentement,ressentir
ls:fr:node:27640,ls:fr:node:29223,frustration,ressentir
ls:fr:node:47651,ls:fr:node:29223,sommeil,ressentir
ls:fr:node:56476,ls:fr:node:29223,apitoiement,ressentir
ls:fr:node:26526,ls:fr:node:29223,bonheur,ressentir
ls:fr:node:27837,ls:fr:node:29223,horreur,ressentir
ls:fr:node:37496,ls:fr:node:29223,orgueil,ressentir
ls:fr:node:30552,ls:fr:node:29223,déception,ressentir
ls:fr:node:26292,ls:fr:node:29223,amour,ressentir
ls:fr:node:56702,ls:fr:node:29223,étonnement,ressentir
ls:fr:node:50566,ls:fr:node:29223,humiliation,ressentir
ls:fr:node:54481,ls:fr:node:29223,reconnaissance,ressentir
ls:fr:node:27791,ls:fr:node:29223,haine,ressentir
ls:fr:node:54272,ls:fr:node:29223,curiosité,ressentir
ls:fr:node:26698,ls:fr:node:29223,chagrin,ressentir
ls:fr:node:56472,ls:fr:node:29223,empathie,ressentir
ls:fr:node:28009,ls:fr:node:29223,jalousie,ressentir
ls:fr:node:30959,ls:fr:node:29223,répulsion,ressentir
ls:fr:node:28764,ls:fr:node:29223,peur,ressentir
ls:fr:node:42133,ls:fr:node:29223,mal du pays,ressentir
ls:fr:node:42593,ls:fr:node:39316,pluie,retomber
ls:fr:node:27825,ls:fr:node:40869,hold-up,réaliser
ls:fr:node:29645,ls:fr:node:40869,toilette,réaliser
ls:fr:node:54539,ls:fr:node:40869,bilan,réaliser
ls:fr:node:49047,ls:fr:node:31627,bagarreur,se bagarrer
ls:fr:node:49048,ls:fr:node:31627,bagarreuse,se bagarrer
ls:fr:node:40823,ls:fr:node:32420,marche,se composer
ls:fr:node:41433,ls:fr:node:38625,gymnastique,se faire
ls:fr:node:39788,ls:fr:node:38625,jogging,se faire
ls:fr:node:39570,ls:fr:node:38625,tennis,se faire
ls:fr:node:39568,ls:fr:node:38625,basket,se faire
ls:fr:node:39564,ls:fr:node:38625,rugby,se faire
ls:fr:node:39563,ls:fr:node:38625,volley-ball,se faire
ls:fr:node:49002,ls:fr:node:38625,badminton,se faire
ls:fr:node:39109,ls:fr:node:38625,ping-pong,se faire
ls:fr:node:48870,ls:fr:node:38625,ciné,se faire
ls:fr:node:39272,ls:fr:node:38625,football,se faire
ls:fr:node:29645,ls:fr:node:36320,toilette,se livrer
ls:fr:node:53917,ls:fr:node:36320,excentricité,se livrer
ls:fr:node:26709,ls:fr:node:36320,chantage,se livrer
ls:fr:node:38782,ls:fr:node:38854,veste,se manger
ls:fr:node:38503,ls:fr:node:38973,veste,se prendre
ls:fr:node:26863,ls:fr:node:45573,concert,se produire
ls:fr:node:38503,ls:fr:node:38848,veste,se ramasser
ls:fr:node:47729,ls:fr:node:48249,visite médicale,se soumettre
ls:fr:node:48680,ls:fr:node:55861,bouc émissaire,servir
ls:fr:node:54318,ls:fr:node:45856,vacherie,sortir
ls:fr:node:29251,ls:fr:node:50447,rhumatisme,souffrir
ls:fr:node:53956,ls:fr:node:50447,pneumonie,souffrir
ls:fr:node:27754,ls:fr:node:50447,grippe,souffrir
ls:fr:node:54719,ls:fr:node:50447,gale,souffrir
ls:fr:node:55144,ls:fr:node:50447,nostalgie,souffrir
ls:fr:node:53806,ls:fr:node:50447,bronchite,souffrir
ls:fr:node:29252,ls:fr:node:50447,rhume,souffrir
ls:fr:node:29079,ls:fr:node:50447,rage,souffrir
ls:fr:node:26269,ls:fr:node:50447,allergie,souffrir
ls:fr:node:28219,ls:fr:node:50447,maladie,souffrir
ls:fr:node:40449,ls:fr:node:50447,coup de froid,souffrir
ls:fr:node:56697,ls:fr:node:50447,maladie vénérienne,souffrir
ls:fr:node:35856,ls:fr:node:50447,goutte,souffrir
ls:fr:node:49268,ls:fr:node:50447,maladie honteuse,souffrir
ls:fr:node:41461,ls:fr:node:50447,syndrome des jambes sans repos,souffrir
ls:fr:node:26625,ls:fr:node:50447,cancer,souffrir
ls:fr:node:45770,ls:fr:node:50447,angine,souffrir
ls:fr:node:56700,ls:fr:node:50447,jaunisse,souffrir
ls:fr:node:50642,ls:fr:node:50447,tuberculose,souffrir
ls:fr:node:42503,ls:fr:node:50447,maladie de la vache folle,souffrir
ls:fr:node:55922,ls:fr:node:50447,carcinome mammaire,souffrir
ls:fr:node:55920,ls:fr:node:50447,carcinome,souffrir
ls:fr:node:55919,ls:fr:node:50447,cancer du sein,souffrir
ls:fr:node:56701,ls:fr:node:50447,ictère,souffrir
ls:fr:node:53541,ls:fr:node:50447,mélancolie,souffrir
ls:fr:node:44377,ls:fr:node:50447,angine de poitrine,souffrir
ls:fr:node:43910,ls:fr:node:50447,mal,souffrir
ls:fr:node:56694,ls:fr:node:50447,maladie mentale,souffrir
ls:fr:node:38503,ls:fr:node:29510,veste,subir
ls:fr:node:47729,ls:fr:node:29510,visite médicale,subir
ls:fr:node:29600,ls:fr:node:29510,tempête,subir
ls:fr:node:29658,ls:fr:node:29510,tornade,subir
ls:fr:node:55776,ls:fr:node:51515,quarantaine,suivre
ls:fr:node:40551,ls:fr:node:40738,route,suivre
ls:fr:node:29600,ls:fr:node:44789,tempête,surpris
ls:fr:node:53543,ls:fr:node:44107,mélancolie,susciter
ls:fr:node:43591,ls:fr:node:41377,désert,s’enfoncer
ls:fr:node:30555,ls:fr:node:42598,pipe,tailler
ls:fr:node:32975,ls:fr:node:42598,pompier,tailler
ls:fr:node:45316,ls:fr:node:41608,table ouverte,tenir
ls:fr:node:55369,ls:fr:node:45514,journal intime,tenir
ls:fr:node:28921,ls:fr:node:41608,pouvoir,tenir
ls:fr:node:50107,ls:fr:node:47679,coup de feu,tirer
ls:fr:node:55317,ls:fr:node:47679,feu d’artifice,tirer
ls:fr:node:42593,ls:fr:node:42717,pluie,tomber
ls:fr:node:26297,ls:fr:node:44594,analogie,tracer
ls:fr:node:43272,ls:fr:node:29704,désert,traverser
ls:fr:node:26709,ls:fr:node:39282,chantage,user
ls:fr:node:47910,ls:fr:node:29761,manche,utiliser
ls:fr:node:29286,ls:fr:node:46178,rouge,virer
ls:fr:node:43272,ls:fr:node:34713,désert,vivre
ls:fr:node:44192,ls:fr:node:30417,nuage,voler
ls:fr:node:30953,ls:fr:node:37957,cri,émettre
ls:fr:node:38107,ls:fr:node:37957,ronflements,émettre
ls:fr:node:30601,ls:fr:node:27370,animosité,éprouver
ls:fr:node:52873,ls:fr:node:27370,contentement,éprouver
ls:fr:node:52799,ls:fr:node:27370,déprime,éprouver
ls:fr:node:52530,ls:fr:node:27370,frayeur,éprouver
ls:fr:node:30684,ls:fr:node:27370,mécontentement,éprouver
ls:fr:node:52009,ls:fr:node:27370,plaisir,éprouver
ls:fr:node:30720,ls:fr:node:27370,fierté,éprouver
ls:fr:node:30913,ls:fr:node:27370,gratitude,éprouver
ls:fr:node:26814,ls:fr:node:27370,colère,éprouver
ls:fr:node:30950,ls:fr:node:27370,répugnance,éprouver
ls:fr:node:51127,ls:fr:node:27370,compassion,éprouver
ls:fr:node:30612,ls:fr:node:27370,aversion,éprouver
ls:fr:node:30959,ls:fr:node:27370,répulsion,éprouver
ls:fr:node:50566,ls:fr:node:27370,humiliation,éprouver
ls:fr:node:56472,ls:fr:node:27370,empathie,éprouver
ls:fr:node:26698,ls:fr:node:27370,chagrin,éprouver
ls:fr:node:56476,ls:fr:node:27370,apitoiement,éprouver
ls:fr:node:26526,ls:fr:node:27370,bonheur,éprouver
ls:fr:node:37496,ls:fr:node:27370,orgueil,éprouver
ls:fr:node:47651,ls:fr:node:27370,sommeil,éprouver
ls:fr:node:42133,ls:fr:node:27370,mal du pays,éprouver
ls:fr:node:26292,ls:fr:node:27370,amour,éprouver
ls:fr:node:56702,ls:fr:node:27370,étonnement,éprouver
ls:fr:node:52874,ls:fr:node:27370,satisfaction,éprouver
ls:fr:node:30596,ls:fr:node:27370,émoi,éprouver
ls:fr:node:53524,ls:fr:node:27370,cafard,éprouver
ls:fr:node:30514,ls:fr:node:27370,effroi,éprouver
ls:fr:node:53262,ls:fr:node:27370,mépris,éprouver
ls:fr:node:29721,ls:fr:node:27370,tristesse,éprouver
ls:fr:node:27791,ls:fr:node:27370,haine,éprouver
ls:fr:node:29968,ls:fr:node:27370,bien,éprouver
ls:fr:node:53774,ls:fr:node:27370,nausée,éprouver
ls:fr:node:55144,ls:fr:node:27370,nostalgie,éprouver
ls:fr:node:29383,ls:fr:node:27370,sentiment,éprouver
ls:fr:node:30533,ls:fr:node:27370,admiration,éprouver
ls:fr:node:30552,ls:fr:node:27370,déception,éprouver
ls:fr:node:54481,ls:fr:node:27370,reconnaissance,éprouver
ls:fr:node:30553,ls:fr:node:27370,dégoût,éprouver
ls:fr:node:53542,ls:fr:node:27370,mélancolie,éprouver
ls:fr:node:27640,ls:fr:node:27370,frustration,éprouver
ls:fr:node:28764,ls:fr:node:27370,peur,éprouver
ls:fr:node:30565,ls:fr:node:27370,désir,éprouver
ls:fr:node:53375,ls:fr:node:27370,ravissement,éprouver
ls:fr:node:27837,ls:fr:node:27370,horreur,éprouver
ls:fr:node:27502,ls:fr:node:27370,fatigue,éprouver
ls:fr:node:28009,ls:fr:node:27370,jalousie,éprouver
ls:fr:node:55218,ls:fr:node:27370,manque,éprouver
ls:fr:node:54272,ls:fr:node:27370,curiosité,éprouver
ls:fr:node:54539,ls:fr:node:46405,bilan,établir
ls:fr:node:50540,ls:fr:node:46405,rapport,établir
ls:fr:node:26297,ls:fr:node:38548,analogie,établir
ls:fr:node:40569,ls:fr:node:34765,oreilles,être
ls:fr:node:45647,ls:fr:node:38679,tête,être
ls:fr:node:43898,ls:fr:node:34765,mal,être
ls:fr:node:26291,ls:fr:node:34765,ami,être
ls:fr:node:41453,ls:fr:node:41447,placard,être
ls:fr:node:27309,ls:fr:node:34765,ennemi,être
ls:fr:node:48680,ls:fr:node:34765,bouc émissaire,être
ls:fr:node:48719,ls:fr:node:27429,cadavre,être
ls:fr:node:31685,ls:fr:node:34765,cause,être
ls:fr:node:29645,ls:fr:node:41447,toilette,être
ls:fr:node:31266,ls:fr:node:41447,taureau,être
ls:fr:node:30770,ls:fr:node:41447,poissons,être
ls:fr:node:28327,ls:fr:node:34765,mère,être
ls:fr:node:55776,ls:fr:node:41447,quarantaine,être
ls:fr:node:27185,ls:fr:node:38679,douche,être
ls:fr:node:29600,ls:fr:node:41447,tempête,être
ls:fr:node:28737,ls:fr:node:34765,père,être
